[2018-05-08 08:47:38,637][INFO] ## 2018-05-08T08:47:38.637501: step 152, loss 65.2841, acc 0.234375
[2018-05-08 08:47:39,398][INFO] ## 2018-05-08T08:47:39.398352: step 153, loss 66.4705, acc 0.265625
[2018-05-08 08:47:40,152][INFO] ## 2018-05-08T08:47:40.152774: step 154, loss 63.7972, acc 0.421875
[2018-05-08 08:47:40,927][INFO] ## 2018-05-08T08:47:40.927449: step 155, loss 63.3864, acc 0.390625
[2018-05-08 08:47:41,687][INFO] ## 2018-05-08T08:47:41.687854: step 156, loss 64.3356, acc 0.265625
[2018-05-08 08:47:42,430][INFO] ## 2018-05-08T08:47:42.430791: step 157, loss 64.6128, acc 0.34375
[2018-05-08 08:47:43,181][INFO] ## 2018-05-08T08:47:43.181160: step 158, loss 66.259, acc 0.25
[2018-05-08 08:47:43,924][INFO] ## 2018-05-08T08:47:43.924263: step 159, loss 63.6758, acc 0.359375
[2018-05-08 08:47:44,695][INFO] ## 2018-05-08T08:47:44.695120: step 160, loss 64.8157, acc 0.25
[2018-05-08 08:47:45,447][INFO] ## 2018-05-08T08:47:45.447244: step 161, loss 64.5662, acc 0.34375
[2018-05-08 08:47:46,200][INFO] ## 2018-05-08T08:47:46.200254: step 162, loss 64.1469, acc 0.28125
[2018-05-08 08:47:46,953][INFO] ## 2018-05-08T08:47:46.953422: step 163, loss 66.023, acc 0.3125
[2018-05-08 08:47:47,703][INFO] ## 2018-05-08T08:47:47.703821: step 164, loss 61.974, acc 0.375
[2018-05-08 08:47:48,458][INFO] ## 2018-05-08T08:47:48.458191: step 165, loss 65.7031, acc 0.28125
[2018-05-08 08:47:49,212][INFO] ## 2018-05-08T08:47:49.212075: step 166, loss 63.7397, acc 0.296875
[2018-05-08 08:47:49,977][INFO] ## 2018-05-08T08:47:49.977201: step 167, loss 64.7517, acc 0.328125
[2018-05-08 08:47:50,747][INFO] ## 2018-05-08T08:47:50.747612: step 168, loss 67.5591, acc 0.296875
[2018-05-08 08:47:51,498][INFO] ## 2018-05-08T08:47:51.498937: step 169, loss 63.0565, acc 0.296875
[2018-05-08 08:47:52,251][INFO] ## 2018-05-08T08:47:52.251975: step 170, loss 63.3317, acc 0.421875
[2018-05-08 08:47:53,007][INFO] ## 2018-05-08T08:47:53.007596: step 171, loss 63.4438, acc 0.28125
[2018-05-08 08:47:53,757][INFO] ## 2018-05-08T08:47:53.757997: step 172, loss 64.4906, acc 0.34375
[2018-05-08 08:47:54,521][INFO] ## 2018-05-08T08:47:54.521148: step 173, loss 61.835, acc 0.515625
[2018-05-08 08:47:55,274][INFO] ## 2018-05-08T08:47:55.274416: step 174, loss 64.6755, acc 0.296875
[2018-05-08 08:47:56,037][INFO] ## 2018-05-08T08:47:56.037713: step 175, loss 64.0071, acc 0.328125
[2018-05-08 08:47:56,798][INFO] ## 2018-05-08T08:47:56.798119: step 176, loss 63.7866, acc 0.328125
[2018-05-08 08:47:57,539][INFO] ## 2018-05-08T08:47:57.539458: step 177, loss 63.5495, acc 0.25
[2018-05-08 08:47:58,292][INFO] ## 2018-05-08T08:47:58.292578: step 178, loss 65.4182, acc 0.296875
[2018-05-08 08:47:59,048][INFO] ## 2018-05-08T08:47:59.048230: step 179, loss 64.413, acc 0.328125
[2018-05-08 08:47:59,808][INFO] ## 2018-05-08T08:47:59.808635: step 180, loss 65.4288, acc 0.28125
[2018-05-08 08:48:00,561][INFO] ## 2018-05-08T08:48:00.561641: step 181, loss 63.5649, acc 0.34375
